STATENAM,YEAR,sum(AWHEAT),sum(ARICE),sum(AMAIZE),sum(AJOWAR),sum(ABAJRA),sum(ASUGAR),sum(APOTATO),sum(AGNUT),sum(ABARLEY),sum(ATOBAC),sum(AGRAM),sum(ATUR),sum(ARAGI),sum(ASESAMUM),sum(ARMSEED),sum(ACOTTON),sum(AOPULS),sum(ASOY),sum(ASUNFLWR),sum(AJUTE)
TAMIL_NADU,1963,0,2619,2.6,742.2,448.8,73.29,0,913.58,0,14.53,2.03,122.249,0,110.02,0,400.22,410.3,0,0,0
HARYANA,1963,678.187,158.411,138.404,271.296,634.61,115.216,4.086,11.798,73.734,0.883,1288.857,27.914,0,1.481,217.364,160.046,70.056,0,0,0
MAHARASHTRA,1963,888.1,1348.8,28,6153.5,1704.6,138.8,0,1136,225.3,17.4,376.1,758.134,0,126.1,0,2802.3,565.7,0,0,0
GUJARAT,1963,430.1,548.2,232.6,1566.4,1440,24.3,0,1847.5,5.3,82.3,114.2,316.667,0,121,37.5,1743.2,89.1,0,0,0
BIHAR,1963,682.074,5324.741,821.562,0,0,140.679,82.267,0,367.306,14.415,500.009,180.421,176.279,32.479,92.569,0,0,0,0,201.23
ANDHRA_PRADESH,1964,16.3,3074.1,206,2482.1,595.5,121.92,0,1084.72,0,153.3,76.21,237.366,0,206.45,0,365.79,1295.53,0,0,0
MAHARASHTRA,1964,909.2,1363.3,27.9,6046.9,1675.8,158.7,0,1121.8,221.6,15.5,359.1,758.134,0,120.6,0,2823.3,584.4,0,0,0
ORISSA,1964,13.75,4330.091,21.641,4.691,4.433,40.366,29.641,54.724,0,8.946,21.589,33.532,64.652,103.357,61.449,0.915,0,0,0,50.487
GUJARAT,1964,444.1,548.6,237.3,1308.5,1483.1,41.5,0,2083.1,3.7,90.6,85.2,316.667,0,117.1,28.9,1845.5,94,0,0,0
PUNJAB,1964,1624.218,280.364,356.8,7.534,160.393,111.9,10.644,122.882,56.165,0.37,718.4,31.834,0,12.283,94.404,483.25,54.71,0,0,0
HARYANA,1964,715.832,178.433,115.2,263.1,744.3,145.9,4.4,11.962,90.7,1.213,1210.9,27.914,0,1.442,158.7,159,58.81,0,0,0
WEST_BENGAL,1964,40.8493926,4673.014955,54.4,0,0,41.1728742,70.917814,0,31.2550607,16,150.1619452,0,0,0,103.2024304,0,0,0,0,456.648
BIHAR,1964,636.507,5309.408,744.573,0,0,165.759,84.642,4.69,339.894,14.311,465.953,157.255,185.57,26.991,86.388,0,0,0,0,170.696
UTTAR_PRADESH,1964,3779.523,4363.687,1113.377,871.886,1061.958,1388.933,118.998,328.724,1478.735,0,2626.983,516.353,0,72.573,156.167,0,1316.31,0,0,19.248
KARNATAKA,1964,293.7,1163,17.2,2977.9,433.8,94.76,0,916.23,0,37.29,146.37,401.276,0,0,0,1013.07,310.34,0,0,0
TAMIL_NADU,1964,0,2626.1,2.9,766.8,439.8,97.95,0,900.55,0,15.77,2.47,122.249,0,93.56,0,376.15,415.37,0,0,0
RAJASTHAN,1964,1183,106,709.2,1194.6,4853.1,43.2,0,197.7,433.6,9.1,1368.5,23.41,0,578.3,207.8,261.1,30.3,0,0,0
MADHYA_PRADESH,1964,3151.2,4286.3,486.8,2038.7,194.2,69.15,28.759,457.05,146.964,3.83,1455.6,486.501,0,336.01,0,899.24,1219.47,0,0,0
KARNATAKA,1965,248.6,1148.9,17.6,2877.5,499.1,89.3,0,903.3,0,38.14,153.52,401.276,0,0,0,1004.9,306.81,0,0,0
MAHARASHTRA,1965,925.8,1252.5,28.2,6011.8,1570.3,160.7,0,1053.1,214.9,12.7,335.6,758.134,0,117.8,0,2636.2,553.7,0,0,0
UTTAR_PRADESH,1965,3939.622366,4109.795723,1160.991666,858.1900712,986.6131804,1489.717286,140.1874491,370.8121893,1462.91428,0,2583.632015,516.353,0,88.6838954,202.0514728,0,1263.163341,0,0,20.97
HARYANA,1965,710.867,201.736,115.6,220.711,728.156,198.272,5.8,21.565,116,0.956,824,27.914,0,1.135,151.7,183.161,48.39,0,0,0
ORISSA,1965,13.311,4261.05,47.729,4.181,5.242,46.537,30.802,61.919,0,8.946,20.696,26.872,104.675,87.963,51.65,0.454,0,0,0,34.019
MADHYA_PRADESH,1965,2394.9,4175.2,516.6,2053.8,194.8,78.03,28.759,593.32,146.964,2.44,1597.7,486.501,0,345.2,0,855.35,1095.54,0,0,0
RAJASTHAN,1965,967,94,741,1027,4880,57,0,217,390,3.9,1113,23.41,0,630,222,278,36,0,0,0
ANDHRA_PRADESH,1965,13,2773.5,215.3,2440.4,528.7,113.33,0,1231.79,0,140,70.54,237.366,0,203.48,0,279.09,1214.76,0,0,0
WEST_BENGAL,1965,41.1287459,4652.28947,50.1,0,0,39.190283,82.0178136,0,34.3319838,15.9,142.6315807,0,0,0,98.1214586,0,0,0,0,403.553
BIHAR,1965,675.211,5244.49,743.373,0,0,170.038,96.679,5.347,339.462,15.804,452.971,172.726,171.849,25.67,82.718,0,0,0,0,152.896
PUNJAB,1965,1557.663,295.081,357.7,4.541,155.645,158.51,12.55,129.501,66.1,0.212,580.3,31.834,0,10.055,82.9,456.378,36.3,0,0,0
TAMIL_NADU,1965,0,2501.9,3.9,759,400.1,100.99,0,954.95,0,11.64,2.39,122.249,0,118.02,0,321.3,395.41,0,0,0
GUJARAT,1965,515.1,536.2,251,1292,1651.3,39.5,0,2065.8,3.3,82.4,35.3,316.667,0,121.2,33.8,1751,94.4,0,0,0
BIHAR,1966,832.999,4417.759,857.832,0,0,149.099,94.498,4.003,350.142,13.621,299.024,147.552,165.369,22.614,70.717,0,0,0,0,160.687
ANDHRA_PRADESH,1966,13.9,2965.9,226.5,2526.1,653.9,87.31,0,1179.4,0,180.63,71.44,237.366,0,237.26,0,307.21,1212.08,0,0,0
KARNATAKA,1966,285.7,1188.6,29.7,2772.7,529.4,89.07,0,927.03,0,34.37,155.4,401.276,0,0,0,979.51,300.73,0,0,0
UTTAR_PRADESH,1966,4169.236139,4182.256632,1252.938046,901.4494059,1011.99694,1169.478428,138.0266234,421.6778462,1485.299718,0,2340.75936,516.353,0,97.5467959,192.4364539,0,1223.345899,0,0,19.956
HARYANA,1966,719.787,192.602,114,237.939,839.52,149.176,5.9,20.317,162,0.85,999,27.914,0,2.212,192,169.957,56.13,0,0,0
ORISSA,1966,15.85,4253.057,52.944,9.365,4.959,36.225,30.706,68.339,0,19.451,20.806,32.663,125.597,116.078,69.123,0.638,0,0,0,43.235
MADHYA_PRADESH,1966,2126.2,4176.9,550.2,2277,247.4,43.98,28.759,476.33,146.964,2.54,1631.7,486.501,0,469.4,0,811.8,1118.92,0,0,0
MAHARASHTRA,1966,876,1335,37.8,6131.3,1727.5,160.5,0,1057.545,222.2,14.8,363.9,758.134,0,128.2,0,2611.3,547,0,0,0
