STATENAM,YEAR,PJOWAR,PMAIZE,PWHEAT,PSUGAR,PPOTATO,PGNUT,PRICE,PBAJRA,PTUR,PRAGI,PTOBAC,PBARLEY,PGRAM,PSESAMUM,PRMSEED,PCOTTON,POPULS,PSOY,PSUNFLWR,PJUTE
MAHARASHTRA,1957,32.124,30.012,52.64,42.8,40.912014,43.504,38.312,38.316,38.996,38.316,182.256,34.012,38.996,79.74,67.16858,85.224,55.624,0,0,0
WEST_BENGAL,1957,0,34.94714,43.512318,41.683454,22.696488,0,59.289842,0,0,0,180.07732,31.481822,35.8093,0,62.743966,0,0,0,0,64.59066667
UTTAR_PRADESH,1957,28.51375,31.07197917,41.4660417,40.57958333,14.68320833,35.5176875,29.728125,34.24916667,30.01075,34.24916667,112.715675,27.34127083,30.01075,73.74958333,63.9675,68.18669,30.01075,0,0,55.63916667
HARYANA,1957,23.44,30.92266667,38.18,36.14323,25.12269417,38.69853667,30.29666667,31.265,29.42683333,31.265,128.7368333,27.02883333,29.42683333,72.97,66.47416667,71.24428667,29.42683333,0,0,0
ORISSA,1957,30.30615385,30.17,41.3692308,36.51076923,18.50518462,42.72923077,39.51461538,30.67230769,31.511,32.38476923,192.7569231,0,30.67769231,76.84692308,63.12230769,73.56384615,31.511,0,0,61.09
TAMIL_NADU,1957,31.68333333,28.61666667,53.6,33.17333333,31.507877,42.37666667,46.425,30.625,36.97,30.625,135.4733333,24.568642,36.97,73.9825,67.16858,77.365,36.65273892,0,0,0
ANDHRA_PRADESH,1957,32.08947368,29.86842105,45.3,34.37,32.579575,43.68473684,53.48421053,30.52105263,31.43368421,30.52105263,99.56578947,24.568642,31.43368421,79.54263158,67.16858,71.98789474,34.09943847,0,0,0
GUJARAT,1957,35.81111111,34.37222222,55.9111111,55.55555556,35.151646,80.60555556,43.8,40.56666667,37.43333333,40.56666667,119.3722222,31.84444444,37.43333333,73.3,54.49444444,44.91111111,72.3,0,0,0
KARNATAKA,1957,31.18947368,30.41578947,51.6210526,37.51578947,41.260315,47.71684211,64.84210526,29.21052632,49.17842105,29.21052632,256.7021053,33.490517,49.17842105,62.96217,59.21123,109.3805263,42.92842105,0,0,0
RAJASTHAN,1957,12.00384615,12.17307692,15.8884615,38.59137927,32.579575,45.2111655,25.52307692,14.44230769,32.21169319,14.44230769,191.341105,30.76181158,32.21169319,79.37767423,72.69914935,159.3118072,20.09430935,0,0,0
BIHAR,1957,0,35.65782353,45.2829412,38.12470588,19.05976471,43.35,59.79882353,0,33.79635294,31.77882353,244.5552353,31.61988235,33.30235294,79.29864706,63.17664706,0,33.79635294,0,0,41.62823529
PUNJAB,1957,27.689,33.0351,36.29,37.297,25.469,37.277661,30.815,30.907,31.1194,30.907,164.805466,28.4936,31.1194,91.0701,67.2661,78.304,31.1194,0,0,0
BIHAR,1958,0,40.07829412,51.5452941,48.53823529,22.31970588,40.21,50.60764706,0,45.85964706,36.49011765,230.466,38.73088235,46.29570588,74.03788235,67.75958824,0,45.85964706,0,0,32.73941176
HARYANA,1958,29.97166667,33.441,40.7216667,39.66829167,26.56336267,42.34438667,30.51333333,36.40666667,33.7405,36.40666667,179.5728333,31.3695,33.7405,76.03033333,65.40116667,71.91865833,33.7405,0,0,0
ANDHRA_PRADESH,1958,33.66315789,31.93684211,65.1,43.51,32.90108,44.63473684,57.01578947,32.72105263,47.11736842,32.72105263,151.4521053,33.410137,47.11736842,80.45157895,56.799915,61.58157895,42.62806863,0,0,0
WEST_BENGAL,1958,0,40.63556,43.805222,51.501096,23.160848,0,56.635846,0,0,0,250.07515,32.742738,41.64059,0,63.236902,0,0,0,0,56.08066667
GUJARAT,1958,36.35555556,36.05555556,60.6944444,61.94444444,25.747509,82.01666667,43.92777778,40.94444444,42.94444444,40.94444444,156.5,28.85,42.94444444,67.27777778,54.31111111,46.98333333,71.05555556,0,0,0
TAMIL_NADU,1958,31.78333333,31.21666667,53.7,34.8475,38.98296,42.95583333,51.20833333,32.91666667,52.14583333,32.91666667,179.5725,33.410137,52.14583333,77.93166667,56.799915,228.2691667,42.38911375,0,0,0
UTTAR_PRADESH,1958,35.300625,38.80620833,46.1541667,41.31166667,17.18070833,38.84175,30.05958333,40.45416667,37.3295,40.45416667,109.15229,34.10372917,37.3295,76.6664375,65.174125,65.93613,37.3295,0,0,47.986875
KARNATAKA,1958,33.52631579,34.07894737,56.5421053,47.85789474,35.928623,50.21736842,65.79473684,32.9,50.87736842,32.9,280.4831579,57.603687,50.87736842,97.97985,73.0897,93.60263158,48.23,0,0,0
MADHYA_PRADESH,1958,30.97906977,29.30465116,45.7883721,51.6255814,32.90108,40.37372093,43.26046512,37.33023256,45.92418605,37.33023256,264.7893023,33.410137,45.92418605,68.50116279,56.799915,75.44953488,45.28834051,0,0,0
RAJASTHAN,1958,16.85769231,12.41153846,17.6769231,51.67328988,32.90108,46.02112038,25.77307692,14.55769231,36.55103308,14.55769231,196.7593567,35.617421,36.55103308,74.51175965,72.79292258,98.08599085,23.00025538,0,0,0
PUNJAB,1958,33.129,35.9689,39.702,44.883,20.2818,40.061916,34.147,35.474,33.3325,35.474,186.893036,28.5796,33.3325,83.0217,68.4929,71.567,33.3325,0,0,0
