STATENAM,YEAR,sum(QWHEAT),sum(QRICE),sum(QMAIZE),sum(QJOWAR),sum(QBAJRA),sum(QSUGAR),sum(QPOTATO),sum(QGNUT),sum(QBARLEY),sum(QTOBAC),sum(QGRAM),sum(QTUR),sum(QRAGI),sum(QSESAMUM),sum(QRMSEED),sum(QCOTTON),sum(QOPULS),sum(QSOY),sum(QSUNFLWR),sum(QJUTE)
BIHAR,1973,1447.239,4157.473999999999,994.321,0.0,0.0,641.1430000000003,840.1810000000002,3.08,106.83000000000001,5.986000000000001,114.283,75.85699999999997,86.47,6.187999999999999,43.27,0.0,0.0,0.0,0.0,151.50816
ANDHRA_PRADESH,1973,13.4,4815,418,1286,347.1000000000001,955.71,0.0,1365.7800000000002,0.0,207.52,19.730000000000004,67.234,0.0,34.89,0.0,58.980000000000004,350.93,0.0,0.0,0.0
ORISSA,1974,77.951,3165.96,74.32399999999998,14.018999999999998,1.6249999999999998,274.99999999999994,47.24,134.79000000000002,0.0,11.088000000000001,14.709,27.677,122.864,46.39900000000001,33.767999999999994,2.282,0.0,0.0,0.0,59.98392
MADHYA_PRADESH,1974,2350.2,2410.8,525,1866.8000000000002,88.09999999999997,199.99999999999994,337.668,298.20000000000005,138.63099999999997,0.8999999999999999,1142.6,417.363,0.0,50.5,0.0,71.9,620,0.0,0.0,0.0
PUNJAB,1974,5233,1168,827,1.924,190.058,535,410.29999999999995,130.857,164,0.11300000000000002,165,34.733000000000004,0.0,7.262999999999999,122.39999999999999,190.83180000000002,20.583,0.0,0.0,0.0
RAJASTHAN,1974,1816,100,472,307,424,206.20000000000002,0.0,177,881,2.9000000000000004,794,7.410999999999999,0.0,22,258,57.70000000000002,6,0.0,0.0,0.0
GUJARAT,1974,645.7,213.60000000000002,214.70000000000002,321.2,446,264.9,0.0,484.50000000000006,29.999999999999996,86.1,16.099999999999998,206.86499999999998,0.0,21.499999999999993,42.300000000000004,274.8,38.4,0.0,0.0,0.0
BIHAR,1974,1755.5630000000003,4548.831,672.277,0.0,0.0,555.859,948.535,5.244000000000001,123.675,7.42,156.73899999999998,88.294,67.68,6.103000000000001,48.196,0.0,0.0,0.0,0.0,89.69507999999998
ANDHRA_PRADESH,1974,17.800000000000004,4870.5,479.7,1564.9,306.20000000000005,1010.11,0.0,1399.38,0.0,141.49,27.410000000000004,67.234,0.0,40.27,0.0,71.90000000000002,382.15999999999997,0.0,0.0,0.0
WEST_BENGAL,1974,395.68280000000016,6223.341,49.415,0.0,0.0,141.2102,1353.405,0.0,35.604,8.769999999999998,56.072,0.0,0.0,0.0,40.2629,0.0,0.0,0.0,0.0,436.84505999999993
HARYANA,1974,1900.632,390.623,177,35.644,174.10000000000002,600.1270000000001,302.1,18.25,233,0.42500000000000004,311,27.958,0.0,2.043,130.09699999999998,68.62899999999999,28.933999999999997,0.0,0.0,0.0
TAMIL_NADU,1974,0.0,3574.5000000000005,11.7,406.5000000000001,215.1,1459.26,0.0,813.5099999999999,0.0,5.959999999999998,4.839999999999998,77.932,0.0,22.500000000000004,0.0,46.599999999999994,109.79,0.0,0.0,0.0
