STATENAM,YEAR,YWHEAT,YRICE,YMAIZE,YJOWAR,YBAJRA,YSUGAR,YPOTATO,YGNUT,YBARLEY,YTOBAC,YGRAM,YTUR,YRAGI,YSESAMUM,YRMSEED,YCOTTON,YOPULS,YSOY,YSUNFLWR,YJUTE
ORISSA,1960,7.0562107,12.7266076,5.6103666,3.2712734,4.8361416,41.2362682,39.2165961,10.2503352,0,9.0707443,4.2917276,5.3202712,4.491896,2.8496708,5.1487044,4.575683,0,0,0,12.7602196
UTTAR_PRADESH,1960,48.0508079,37.4701422,27.9654956,26.744663,23.7408748,188.8491669,351.5201333,38.290357,42.8498265,0,33.4190888,68.3192428,0,10.5873893,20.5507652,0,36.9463968,0,0,41.2240997
HARYANA,1960,7.2511374,6.2728547,4.98577,1.0442698,1.926597,18.9500457,69.619428,31.5131089,4.9986348,6.7072446,4.9995357,5.8048724,0,1.6287445,3.0180352,2.6457896,2.4547817,0,0,0
RAJASTHAN,1960,24.2746178,7.9107379,21.3270808,6.4212591,5.5193473,42.4897685,0,0,27.7185665,10.35,11.4034989,6.6023424,0,0,4.1751445,2.0053716,5.325193,0,0,0
ANDHRA_PRADESH,1960,3.2474921,21.4265944,14.3332955,10.0347639,8.6396919,137.4442029,0,14.1233453,0,12.7312945,6.2348668,5.5729438,0,3.4086189,0,1.0421747,4.1178509,0,0,0
WEST_BENGAL,1960,11.3684017,17.8706741,9.63,0,0,73.3419355,113.3068938,0,6.1743139,7.85,7.2096662,0,0,0,5.2145616,0,0,0,0,19.384987
MADHYA_PRADESH,1960,26.6282335,30.572212,43.7447901,32.3199199,13.1395817,119.5892366,503.2833334,28.6514069,34.5042713,18.1833333,22.0894499,35.2489299,0,4.9190237,0,2.751765,22.1992432,0,0,0
GUJARAT,1960,12.3211668,10.3520766,9.4455858,3.5887457,5.8143764,70.255991,0,11.052173,12.9807695,5.4284173,7.7596121,9.9368122,0,2.8060081,1.9253585,1.9765853,4.4051326,0,0,0
TAMIL_NADU,1960,0,17.5502114,8.8075397,8.3213204,6.4175142,75.1802562,0,13.3951332,0,11.1752667,4.8813186,6.762278,0,3.4891427,0,2.1897944,3.3360272,0,0,0
MAHARASHTRA,1960,10.7859302,20.918449,0,15.457498,8.5663911,99.4120032,0,15.3054021,8.7984756,10.7678131,7.9902396,14.0514708,0,5.607744,0,3.0161632,19.763516,0,0,0
KARNATAKA,1960,2.9773905,24.6185398,2.2775531,6.757202,3.2893164,129.6375496,0,10.3225185,0,12.5881046,6.2488683,8.314695,0,0,0,1.2082374,5.507859,0,0,0
BIHAR,1960,11.0149052,14.8018658,16.5282299,0,0,56.6645379,104.4906158,0,8.0635444,14.7071422,9.3159792,10.0645916,8.3146762,4.6841267,6.1357251,0,0,0,0,8.9520349
HARYANA,1961,7.8960722,6.583767,5.0454594,1.2150913,1.7489913,17.2137855,69.394336,19.9529041,4.5065408,8.5722144,4.2552821,5.8048724,0,2.3447663,3.2048305,2.6847064,3.4341826,0,0,0
PUNJAB,1961,11.9504914,10.3673825,13.4723711,2.8207604,4.8129357,28.5867005,144.309864,33.7530083,10.2797299,21.0010072,8.5465885,9.0109894,0,4.2295822,6.5671291,2.5509424,6.3647321,0,0,0
ANDHRA_PRADESH,1961,2.7534547,23.6241002,20.1464421,10.4763865,10.8291666,150.5223055,0,15.3869152,0,11.7968286,6.6677185,5.5729438,0,3.1502029,0,1.1431264,4.159106,0,0,0
