STATENAM,YEAR,QWHEAT,QRICE,QMAIZE,QJOWAR,QBAJRA,QSUGAR,QPOTATO,QGNUT,QBARLEY,QTOBAC,QGRAM,QTUR,QRAGI,QSESAMUM,QRMSEED,QCOTTON,QOPULS,QSOY,QSUNFLWR,QJUTE
ANDHRA_PRADESH,1961,4.7,3946.3,214.4,1442.1,370,671.69,0,617.38,0,113.62,26.97,67.234,0,40.09,0,22.87,276.62,0,0,0
MADHYA_PRADESH,1961,2174.2,3488.3,434.4,878.9,66.1,142.3,337.668,281.55,138.631,2.9,880.2,417.363,0,40.62,0,38.3,411.41,0,0,0
RAJASTHAN,1961,1267.9,89.4,704.8,305.7,1072.1,76,0,62.6,677.7,4.1,993.7,7.411,0,67.9,107.6,30.4,10.1,0,0,0
WEST_BENGAL,1961,34.3127794,4796.169047,29.34,0,0,181.5195,729.7563597,0,42.5816872,13.188,106.6185122,0,0,0,33.8376126,0,0,0,0,607.5441
TAMIL_NADU,1961,0,3907.2,6.2,600.8,305.9,581.76,0,1082.17,0,25.51,1.12,77.932,0,35.92,0,69.05,107.78,0,0,0
GUJARAT,1961,380.6,512,299.5,321.2,541.5,114.1,0,1479.7,67.9,83.9,52,206.865,0,20.3,14.3,231,46.9,0,0,0
UTTAR_PRADESH,1961,4000.853,3230.769,689.653,330.858,384.965,5121.332,643.866,225.134,1728.351,0,1518.059,762.109,0,7.769,69.108,0,1135.651,0,0,34.76196
ORISSA,1961,4.306,3722.407,13.155,4.555,1.741,74.728,32.154,20.064,0,9.203,9.437,8.851,33.818,20.098,17.406,2.98,0,0,0,55.12536
BIHAR,1961,522.64,4360.444,788.83,0,0,632.98,454.804,0,258.675,14.631,299.661,90.565,97.974,7.232,45.114,0,0,0,0,229.2318
MAHARASHTRA,1961,415.8,1481.2,0,2919.8,425.2,1133.4,0,769.8,166.8,12.8,134.2,436.3,0,23.4,0,170.3,338.6,0,0,0
KARNATAKA,1961,69.6,1452.4,13.4,1115,99.6,578.92,0,449.28,0,24.11,45.32,181.318,0,0,0,82.4,111.76,0,0,0
BIHAR,1962,529.311,4282.447,884.95,0,0,487.726,831.238,0,234.629,10.205,283.018,129.426,102.006,8.208,55.841,0,0,0,0,189.42246
TAMIL_NADU,1962,0,4024.1,8.8,590,318.6,426.25,0,1145.43,0,27.92,1.78,77.932,0,41.23,0,63.58,104.31,0,0,0
MADHYA_PRADESH,1962,2150.7,2348.5,469,1520.4,134.9,144.9,337.668,270.59,138.631,2.32,874.3,417.363,0,60.01,0,53.89,398.8,0,0,0
ORISSA,1962,4.469,3721.645,19.196,6.914,2.618,157.487,50.514,31.759,0,5.385,22.143,20.767,51.063,31.393,27.187,4.943,0,0,0,54.06354
WEST_BENGAL,1962,30.6372883,4410.250358,34.79,0,0,135.5012,799.8088516,0,28.8105215,11.099,104.3179972,0,0,0,37.4391989,0,0,0,0,564.7752
