,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
TOBAC,167.8694815,175.3376464,202.5355515,222.76860980000004,220.243069,232.8124483,227.0693094,261.61972119999996,299.6348019,349.8730178,360.2110893,361.33707069999997,333.85251519999997,396.4490782,406.78341489999997,450.0326701,473.07124220000003,477.6764368,550.1571081000001,677.3473458999999,681.1727336,531.3029184999999,547.7968262999999,601.9942009,688.0900871,723.0232149,737.8765499,860.4704432,799.4577842,866.7083025000001,860.0118343,1137.100592
GRAM,35.46294969,34.19312486,43.00418571,38.70748322,39.54719282,41.75587792,42.44537825,55.4940065,73.88822621,87.84362624,109.25802350000001,104.4679244,90.15006106,102.7162285,89.04757288,99.07037171,138.8112611,197.3732071,192.5103324,139.73969780000002,140.52601289999998,188.688393,197.2216186,234.15197259999997,333.8706119,287.25774889999997,273.99353110000004,311.0884057,410.93793900000003,414.3646315,387.96745560000005,506.4497041
TUR,32.7348995,31.54066391,39.67241391,36.13540818,36.64527309,38.32396626,39.6245408,51.03569823,68.51344086,81.31559863,99.89281479,95.09014875,83.53751715,94.3945397,81.9814651,91.43874611,130.3250997,177.5675313,178.12121069999998,130.1879616,136.5974791,184.7174796,189.65638859999999,220.2045009,305.884811,265.2269094,259.9075004,294.9702417,341.14285060000003,343.662934,459.0207101,572.2751479
RAGI,29.45037487,28.85626377,31.82589062,30.53040727,31.43815564,32.27278731,32.68573363,36.63971383,50.50198904,57.88749706,63.75287287,66.21805344,60.938549800000004,62.17502712,55.45284414,60.40046433,83.64907388,93.13368899,139.6348094,102.83738100000001,87.41204304,97.78380345,86.2883698,101.4727817,113.8019527,123.1886038,128.5909905,127.84018429999999,133.574859,152.8388664,153.2899408,171.1449704
SESAMUM,67.71081617,70.51906952,71.07719490000001,69.9596128,83.89389071,84.92230626,81.34054426,86.73901309,114.5283617,141.0367205,165.9356376,155.80095690000002,152.379571,177.3781138,190.39374469999998,194.69822209999998,239.47492400000002,303.225593,320.76593760000003,271.8307982,334.9441938,339.5847392,318.5795895,369.11656439999996,450.17357069999997,472.08575819999993,507.3108162,572.9056653,578.8783107999999,568.278001,713.9201182999999,874.5502958999999
RMSEED,64.72188731,64.75614086,65.79956212,66.18126939,76.46232759,75.18935428,73.45589494,89.04473177,108.2152871,128.5238257,156.245573,136.35998869999997,141.7386086,160.46419509999998,159.28662749999998,159.22702759999999,188.013786,291.193325,246.31399790000003,180.49482749999999,336.75913210000004,316.245637,293.1618777,366.7224933,419.3356963,401.84722189999997,411.2811059,480.4698375,441.0975367,459.84191439999995,602.2840237,683.5147929
COTTON,63.90739016,70.32784253,74.87158769,74.05277636,89.69712138,88.87910866,93.84180178,97.75277049,106.3006602,112.3883795,131.3250915,127.9092629,133.1870907,149.0412934,191.6385431,168.7001307,173.8616257,241.54225209999998,233.70746519999997,222.6344877,333.96252999999996,308.6332273,283.16238119999997,293.50136089999995,372.79609469999997,397.03514789999997,384.0098817,436.06550300000004,450.2944379,391.7542012,446.1686391,614.6952663
OPULS,31.90053388,35.02010115,41.07203699,39.22586297,39.5814154,40.07143079,42.43181129999999,53.20363227,65.36169239,69.38767909,90.22602584,91.08152991,82.05159644,87.49130912,85.94859793,98.52529611,131.7411325,149.5721746,166.9637619,125.19579420000001,154.1443052,201.08821740000002,206.04614119999997,220.2045009,305.884811,265.2269094,259.9075004,294.9702417,341.14285060000003,343.662934,459.0207101,572.2751479
SOY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.68091585,112.80888359999999,86.88638922,89.28511242,143.9703649,165.07349240000002
SUNFLWR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.7417353,284.71136260000003,213.2802874,338.4523379,279.7924639,294.89887200000004,339.5588034,379.3119793
JUTE,17.74116893,17.14985143,16.70668873,15.25095607,31.09816308,24.32575151,16.932417800000003,20.67121701,26.47379355,31.50880769,35.03715536,29.66533032,43.88301056,37.54521568,43.395508299999996,39.29691704,42.97229864,37.80607843,46.22963668,37.37675095,43.79754042,53.92033265,56.12554787,57.06641892,49.64150698,49.15417613,65.00219755,89.67026032,206.3816633,89.10009806,36.23334842,38.77546946
