STATENAM,YEAR,avg(PRICE),avg(PMAIZE),avg(PJOWAR),avg(PBAJRA),avg(PSUGAR),avg(PPOTATO),avg(PGNUT),avg(PGNUT),avg(PBARLEY),avg(PTOBAC),avg(PGRAM),avg(PTUR),avg(PRAGI),avg(PSESAMUM),avg(PRMSEED),avg(PCOTTON),avg(POPULS),avg(PSOY),avg(PSUNFLWR),avg(PJUTE)
ORISSA,1958,41.78692307692307,30.916153846153854,31.98307692307691,35.3523076923077,49.107692307692304,21.680307692307686,43.363076923076925,43.363076923076925,0.0,226.6761538461538,44.775384615384624,43.538999999999994,34.77753846153846,73.58538461538461,59.623076923076916,69.90461538461538,43.538999999999994,0.0,0.0,80.38000000000001
MAHARASHTRA,1958,40.30799999999999,32.124,34.123999999999995,38.764,48.96799999999998,41.367484999999995,49.703999999999986,49.703999999999986,38.699999999999996,220.570284,46.38,46.38,38.764,74.00799999999998,95.11306999999994,90.03200000000002,67.54399999999998,0.0,0.0,0.0
RAJASTHAN,1959,26.73076923076923,13.699999999999998,13.203846153846154,14.407692307692308,52.003041153846155,29.06976699999999,59.93668676923078,59.93668676923078,34.74048465384617,229.48731807692306,36.07701373076923,36.07701373076923,14.407692307692308,87.49783603846154,76.95192888461537,109.43463996153847,29.698358230769227,0.0,0.0,0.0
HARYANA,1959,29.666666666666668,30.096166666666665,29.846666666666664,34.85333333333333,43.42473783333333,20.064325666666665,43.837606666666666,43.837606666666666,31.275666666666666,147.5255,34.93266666666667,34.93266666666667,34.85333333333333,77.50150000000001,64.74833333333333,75.51529166666667,34.93266666666667,0.0,0.0,0.0
MADHYA_PRADESH,1959,36.27441860465117,23.42093023255815,31.86976744186048,35.28604651162792,55.87581395348836,52.16482500000001,39.0572093023256,39.0572093023256,25.55996100000001,349.8246511627909,31.20558139534884,31.20558139534884,35.28604651162792,66.91627906976744,59.07726999999996,101.48023255813949,40.500669767441856,0.0,0.0,0.0
BIHAR,1959,45.646470588235296,30.82070588235294,0.0,0.0,48.30176470588235,19.530058823529416,39.2,39.2,31.86935294117647,255.01776470588229,37.79247058823529,39.73635294117648,28.133705882352945,71.34035294117646,68.93723529411764,0.0,39.73635294117648,0.0,0.0,34.88647058823529
UTTAR_PRADESH,1959,28.70708333333333,31.455875000000002,29.295833333333338,34.99041666666667,41.298125,14.701229166666659,42.49827083333335,42.49827083333335,30.931875,123.29867999999993,33.11152083333331,33.11152083333331,34.99041666666667,69.95445833333328,64.66466666666666,77.56403,33.11152083333331,0.0,0.0,44.797291666666666
WEST_BENGAL,1959,60.67935,29.567630000000005,0.0,0.0,53.02276799999999,24.085995999999998,0.0,0.0,33.10350999999999,209.22044000000002,38.334703999999995,0.0,0.0,0.0,73.69750400000001,0.0,0.0,0.0,0.0,54.27866666666667
ANDHRA_PRADESH,1959,58.72105263157895,37.08947368421051,36.88947368421053,33.97894736842105,45.95000000000002,29.069767000000002,49.599999999999994,49.599999999999994,25.55996099999999,213.6015789473684,43.9478947368421,43.9478947368421,33.97894736842105,82.60736842105261,59.07727,89.60684210526315,41.28505457894737,0.0,0.0,0.0
GUJARAT,1959,44.06666666666667,38.87777777777778,39.47222222222222,38.41666666666667,59.36666666666666,22.21091000000001,84.58333333333334,84.58333333333334,30.01666666666666,134.69444444444446,42.794444444444444,42.794444444444444,38.41666666666667,68.37777777777778,59.638888888888886,58.80555555555556,74.75555555555555,0.0,0.0,0.0
ORISSA,1959,43.87076923076923,29.443076923076923,33.89538461538462,34.416923076923084,52.707692307692305,39.79461538461539,44.56153846153847,44.56153846153847,0.0,284.92769230769227,33.816153846153846,36.769999999999996,32.38153846153847,72.57615384615384,64.34,96.65230769230769,36.769999999999996,0.0,0.0,64.29999999999998
TAMIL_NADU,1959,52.475000000000016,30.65833333333333,36.05833333333333,34.699999999999996,45.69416666666666,36.169758,47.08416666666667,47.08416666666667,25.55996099999999,176.9075,42.875,42.875,34.699999999999996,73.755,59.07727,91.38666666666667,37.573050583333334,0.0,0.0,0.0
MAHARASHTRA,1959,39.676,38.303999999999995,36.992000000000004,39.96000000000001,54.236,41.42106999999999,54.687999999999995,54.687999999999995,39.04,322.93999999999994,42.39999999999999,42.39999999999999,39.96000000000001,82.488,72.01800499999996,97.45600000000002,64.19999999999999,0.0,0.0,0.0
PUNJAB,1959,32.516000000000005,31.8296,35.083,33.908,46.42399999999999,16.6447,41.238082000000006,41.238082000000006,27.9552,183.76635800000003,33.477199999999996,33.477199999999996,33.908,85.9694,63.7256,74.974,33.477199999999996,0.0,0.0,0.0
KARNATAKA,1959,73.83157894736841,31.178947368421046,37.05263157894737,35.878947368421045,45.59473684210527,39.38484600000001,55.49578947368421,55.49578947368421,25.55996099999999,264.7799999999999,52.43263157894737,52.43263157894737,35.878947368421045,70.49084,74.40253000000001,89.81052631578946,43.89578947368422,0.0,0.0,0.0
PUNJAB,1960,34.209,33.254900000000006,38.565,33.678,42.714,25.050900000000002,47.746554700000004,47.746554700000004,29.0885,183.37516,35.0472,35.0472,33.678,87.8325,70.9969,84.01399999999998,35.0472,0.0,0.0,0.0
ORISSA,1960,45.94615384615385,29.79,31.50076923076923,34.68153846153845,44.071538461538466,33.048461538461545,53.33076923076923,53.33076923076923,0.0,264.4753846153846,36.87461538461538,36.36000000000001,29.199230769230773,88.08076923076925,74.9446153846154,103.83923076923075,36.36000000000001,0.0,0.0,148.07999999999998
UTTAR_PRADESH,1960,27.691041666666667,33.70487499999999,32.86520833333335,37.353125,45.805416666666666,14.044145833333333,48.94710416666667,48.94710416666667,30.20352083333333,77.77837,34.38635416666668,34.38635416666668,37.353125,92.67072916666666,68.44789583333336,87.79874000000007,34.38635416666668,0.0,0.0,88.73270833333338
